source,line,namespace,kind,id,status
src/main/resources/mappers/arisuinfo/cm/bbs/bbsFaqMngMapper.xml,83,arisuinfo.cm.bbs.mapper.BbsFaqMngMapper,select,searchBbsFaqDetail,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsFaqMngMapper.xml,126,arisuinfo.cm.bbs.mapper.BbsFaqMngMapper,insert,registBbsFaqMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsFaqMngMapper.xml,176,arisuinfo.cm.bbs.mapper.BbsFaqMngMapper,update,modifyBbsFaqMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsFaqMngMapper.xml,204,arisuinfo.cm.bbs.mapper.BbsFaqMngMapper,select,searchFaqMain,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsMngMapper.xml,10,arisuinfo.cm.bbs.mapper.BbsMngMapper,select,searchBbsMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsMngMapper.xml,55,arisuinfo.cm.bbs.mapper.BbsMngMapper,select,selectBbsMngInfo,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsMngMapper.xml,75,arisuinfo.cm.bbs.mapper.BbsMngMapper,insert,registBbsMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsMngMapper.xml,112,arisuinfo.cm.bbs.mapper.BbsMngMapper,update,modifyBbsMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsMngMapper.xml,127,arisuinfo.cm.bbs.mapper.BbsMngMapper,update,removeBbsMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsMngMapper.xml,136,arisuinfo.cm.bbs.mapper.BbsMngMapper,update,modifyBbsSearchCnt,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsMngMapper.xml,146,arisuinfo.cm.bbs.mapper.BbsMngMapper,update,removeBbs,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsMngMapper.xml,157,arisuinfo.cm.bbs.mapper.BbsMngMapper,select,selectBbsOwner,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsMngMapper.xml,166,arisuinfo.cm.bbs.mapper.BbsMngMapper,select,searchMainRollingList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsMngMapper.xml,203,arisuinfo.cm.bbs.mapper.BbsMngMapper,insert,registBbs,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsMngMapper.xml,280,arisuinfo.cm.bbs.mapper.BbsMngMapper,update,modifyWorkDayBbs,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsNtcMngMapper.xml,12,arisuinfo.cm.bbs.mapper.BbsNtcMngMapper,select,searchBbsNtc,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsNtcMngMapper.xml,105,arisuinfo.cm.bbs.mapper.BbsNtcMngMapper,select,searchBbsNtcMng,NOT_VERIFIED
