source,title,route_references,status
src/main/nexacro/form/cm/oper/cmBatchOperMngF.xfdl,배치 작업 관리,svc::/cm/oper/executeBatch.do | svc::/cm/oper/executeManual.do | svc::/cm/oper/modifyBatch.do | svc::/cm/oper/registBatch.do | svc::/cm/oper/removeBatch.do | svc::/cm/oper/searchBatchHistList.do | svc::/cm/oper/searchBatchList.do,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmBillFormHistF.xfdl,고지서 양식 관리,svc::/cm/oper/deleteBillFormHist.do | svc::/cm/oper/insertBillFormHist.do | svc::/cm/oper/searchBillFormList.do | svc::/cm/oper/updateBillFormHist.do,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmCntcHistF.xfdl,서비스 연계 이력,svc::/cm/oper/searchCntcHist.do,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmCntcMngF.xfdl,연계 서비스 정보 관리,svc::/cm/oper/deleteCntcProgrm.do | svc::/cm/oper/insertCntcProgrm.do | svc::/cm/oper/searchCntcProgrm.do | svc::/cm/oper/updateCntcProgrm.do,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmCronTabSetP.xfdl,배치처리 주기 CronTab 명령 구성,,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmDaySchdulMngP.xfdl,배치 작업 일정 일별 관리,,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmEltNtHstF.xfdl,이메일고지이력,svc::/cm/oper/reDoEltNt.do | svc::/cm/oper/searchEltNtHstList.do | svc::/cm/oper/searchEmailSndDsc.do | svc::/cm/oper/sendSmsEltNt.do,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmEltSanctnMngF.xfdl,전자결재 이력 관리,svc::/cm/oper/reDoElectSanctn.do | svc::/cm/oper/searchElectSanctnHist.do | svc::/cm/oper/searchEltErrList.do | svc::/cm/oper/searchEscbrdProcessList.do,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmHelpSmF.xfdl,도움말 이용 집계,svc::/cm/hp/selectHpGuideSummary.do,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmIssueMngF.xfdl,오류 관리,svc::/cm/fileUpload/fileUploadList.do | svc::/cm/oper/deleteIssueMng.do | svc::/cm/oper/insertIssueMng.do | svc::/cm/oper/searchAllComboList.do | svc::/cm/oper/searchIssueMngList.do | svc::/cm/oper/searchPgmCdList.do | svc::/cm/oper/searchSysSeCdList.do | svc::/cm/oper/searchTaskSeCdList.do | svc::/cm/oper/updateIssueMng.do,NOT_VERIFIED
